
Locations for high_heels:
kitchen (AtLocation | Weight: 6.93) <- knife (RelatedTo | Weight: 1.00) -> stiletto/n (Synonym | Weight: 1.00) -> high_heels | Total Weight: 6.93 | Degree of Separation: 3
kitchen (AtLocation | Weight: 6.93) <- knife (IsA | Weight: 1.00) <- stiletto/n (Synonym | Weight: 1.00) -> high_heels | Total Weight: 6.93 | Degree of Separation: 3
kitchen (AtLocation | Weight: 6.93) <- knife (RelatedTo | Weight: 1.00) -> dagger (RelatedTo | Weight: 1.00) -> stiletto/n (Synonym | Weight: 1.00) -> high_heels | Total Weight: 6.93 | Degree of Separation: 4
kitchen (AtLocation | Weight: 6.93) <- knife (RelatedTo | Weight: 1.00) -> dagger (IsA | Weight: 1.00) <- stiletto/n (Synonym | Weight: 1.00) -> high_heels | Total Weight: 6.93 | Degree of Separation: 4
kitchen (AtLocation | Weight: 5.29) <- plate (AtLocation | Weight: 1.00) <- knife (RelatedTo | Weight: 1.00) -> stiletto/n (Synonym | Weight: 1.00) -> high_heels | Total Weight: 5.29 | Degree of Separation: 4
kitchen (AtLocation | Weight: 5.29) <- plate (AtLocation | Weight: 1.00) <- knife (IsA | Weight: 1.00) <- stiletto/n (Synonym | Weight: 1.00) -> high_heels | Total Weight: 5.29 | Degree of Separation: 4
kitchen (AtLocation | Weight: 5.29) <- plate (RelatedTo | Weight: 1.09) -> knife (RelatedTo | Weight: 1.00) -> stiletto/n (Synonym | Weight: 1.00) -> high_heels | Total Weight: 5.29 | Degree of Separation: 4
kitchen (AtLocation | Weight: 5.29) <- plate (RelatedTo | Weight: 1.09) -> knife (IsA | Weight: 1.00) <- stiletto/n (Synonym | Weight: 1.00) -> high_heels | Total Weight: 5.29 | Degree of Separation: 4
kitchen (AtLocation | Weight: 5.29) <- fork (RelatedTo | Weight: 1.00) -> knife (RelatedTo | Weight: 1.00) -> stiletto/n (Synonym | Weight: 1.00) -> high_heels | Total Weight: 5.29 | Degree of Separation: 4
kitchen (AtLocation | Weight: 5.29) <- fork (RelatedTo | Weight: 1.00) -> knife (IsA | Weight: 1.00) <- stiletto/n (Synonym | Weight: 1.00) -> high_heels | Total Weight: 5.29 | Degree of Separation: 4
kitchen (AtLocation | Weight: 5.29) <- table (AtLocation | Weight: 2.00) <- shoes (IsA | Weight: 1.00) <- stiletto/n (Synonym | Weight: 1.00) -> high_heels | Total Weight: 5.29 | Degree of Separation: 4
kitchen (AtLocation | Weight: 5.29) <- table (AtLocation | Weight: 1.00) <- knife (RelatedTo | Weight: 1.00) -> stiletto/n (Synonym | Weight: 1.00) -> high_heels | Total Weight: 5.29 | Degree of Separation: 4
