object,category,group,chat_gpt_context,conceptnet_context,conceptnet_path,bert_similarity_chat_gpt,word2vec_similarity_chat_gpt,glove_similarity_chat_gpt,average_similarity_chat_gpt,bert_similarity_conceptnet,word2vec_similarity_conceptnet,glove_similarity_conceptnet,average_similarity_conceptnet
apple,Fruits,"['bedroom', 'kitchen', 'garden', 'office']",kitchen,kitchen,kitchen (AtLocation) <- food (RelatedTo) -> apple,0.8341412544250488,0.1500253677368164,0.19875599443912506,0.39430753886699677,0.8341412544250488,0.1500253677368164,0.19875599443912506,0.39430753886699677
apple,Fruits,"['playroom', 'dining_room', 'laundry_room', 'living_room']",dining_room,playroom,playroom (AtLocation) <- ball (RelatedTo) -> apple,0.5913750529289246,0.10004158318042755,0.12824341654777527,0.2732200175523758,0.6570477485656738,0.09085994958877563,-0.07638087123632431,0.22384227563937506
orange,Fruits,"['bedroom', 'kitchen', 'garden', 'office']",kitchen,kitchen,kitchen (AtLocation) <- food (IsA) <- orange,0.8095396161079407,0.08993031084537506,0.14125093817710876,0.34690695504347485,0.8095396161079407,0.08993031084537506,0.14125093817710876,0.34690695504347485
orange,Fruits,"['playroom', 'dining_room', 'laundry_room', 'living_room']",dining_room,dining_room,dining_room (AtLocation) <- table (AtLocation) <- food (IsA) <- orange,0.5589726567268372,0.17027859389781952,0.16659583151340485,0.2986156940460205,0.5589726567268372,0.17027859389781952,0.16659583151340485,0.2986156940460205
lemon,Fruits,"['bedroom', 'kitchen', 'garden', 'office']",kitchen,kitchen,kitchen (AtLocation) <- fridge (AtLocation) <- lemon,0.8376744985580444,0.19525223970413208,0.1408146321773529,0.39124712347984314,0.8376744985580444,0.19525223970413208,0.1408146321773529,0.39124712347984314
lemon,Fruits,"['playroom', 'dining_room', 'laundry_room', 'living_room']",dining_room,playroom,playroom (UsedFor) -> children (RelatedTo) -> bishop/n/wikt/en_1 (RelatedTo) -> lemon,0.5641213059425354,0.1868106871843338,0.1502649039030075,0.30039896567662555,0.6101081967353821,0.11969712376594543,-0.05072057619690895,0.2263615814348062
banana,Fruits,"['bedroom', 'kitchen', 'garden', 'office']",kitchen,kitchen,kitchen (AtLocation) <- food (IsA) <- banana,0.8605605363845825,0.16108699142932892,0.12159039080142975,0.3810793062051137,0.8605605363845825,0.16108699142932892,0.12159039080142975,0.3810793062051137
banana,Fruits,"['playroom', 'dining_room', 'laundry_room', 'living_room']",dining_room,dining_room,dining_room (AtLocation) <- table (AtLocation) <- food (IsA) <- banana,0.566942572593689,0.10368241369724274,0.04625635966658592,0.23896044865250587,0.566942572593689,0.10368241369724274,0.04625635966658592,0.23896044865250587
bottle,Beverages,"['bedroom', 'kitchen', 'garden', 'office']",kitchen,kitchen,kitchen (AtLocation) <- fridge (AtLocation) <- bottle,0.8371222019195557,0.23146119713783264,0.32512494921684265,0.46456944942474365,0.8371222019195557,0.23146119713783264,0.32512494921684265,0.46456944942474365
bottle,Beverages,"['playroom', 'dining_room', 'laundry_room', 'living_room']",dining_room,dining_room,dining_room (AtLocation) <- glass (RelatedTo) -> container (IsA) <- bottle,0.5746685266494751,0.17052766680717468,0.29765188694000244,0.3476160267988841,0.5746685266494751,0.17052766680717468,0.29765188694000244,0.3476160267988841
beer,Beverages,"['bedroom', 'kitchen', 'garden', 'office']",kitchen,kitchen,kitchen (AtLocation) <- fridge (AtLocation) <- beer,0.8811705112457275,0.1951320469379425,0.2881423234939575,0.45481496055920917,0.8811705112457275,0.1951320469379425,0.2881423234939575,0.45481496055920917
beer,Beverages,"['playroom', 'dining_room', 'laundry_room', 'living_room']",living_room,playroom,playroom (UsedFor) -> fun (RelatedTo) -> party (RelatedTo) -> beer,0.57588130235672,0.12350165098905563,0.1757112592458725,0.2916980708638827,0.6674661636352539,0.03607521206140518,-0.06227647513151169,0.21375496685504913
juice,Beverages,"['bedroom', 'kitchen', 'garden', 'office']",kitchen,kitchen,kitchen (AtLocation) <- milk (RelatedTo) -> juice,0.8378316164016724,0.17180576920509338,0.24874508380889893,0.4194608231385549,0.8378316164016724,0.17180576920509338,0.24874508380889893,0.4194608231385549
juice,Beverages,"['playroom', 'dining_room', 'laundry_room', 'living_room']",dining_room,dining_room,dining_room (AtLocation) <- glass (RelatedTo) -> drink (RelatedTo) -> juice,0.5749502182006836,0.06605186313390732,0.18740209937095642,0.2761347269018491,0.5749502182006836,0.06605186313390732,0.18740209937095642,0.2761347269018491
wine,Beverages,"['bedroom', 'kitchen', 'garden', 'office']",kitchen,kitchen,kitchen (AtLocation) <- grape (RelatedTo) -> wine,0.8641981482505798,0.23625648021697998,0.2709987759590149,0.4571511348088582,0.8641981482505798,0.23625648021697998,0.2709987759590149,0.4571511348088582
wine,Beverages,"['playroom', 'dining_room', 'laundry_room', 'living_room']",dining_room,dining_room,dining_room (AtLocation) <- table (AtLocation) <- food (IsA) <- wine,0.6017598509788513,0.2810632884502411,0.31955569982528687,0.4007929464181264,0.6017598509788513,0.2810632884502411,0.31955569982528687,0.4007929464181264
carrot,Vegetables,"['bedroom', 'kitchen', 'garden', 'office']",kitchen,kitchen,kitchen (AtLocation) <- sugar (RelatedTo) -> sweet (RelatedTo) -> carrot,0.7273373603820801,0.03084634430706501,0.136056587100029,0.298080097263058,0.7273373603820801,0.03084634430706501,0.136056587100029,0.298080097263058
carrot,Vegetables,"['playroom', 'dining_room', 'laundry_room', 'living_room']",dining_room,dining_room,dining_room (AtLocation) <- table (AtLocation) <- felt (RelatedTo) -> carrot,0.49837878346443176,0.04516492038965225,0.04285130277276039,0.19546500220894814,0.49837878346443176,0.04516492038965225,0.04285130277276039,0.19546500220894814
